Student,LPIPS,SSIM
113590011.png,0.4360447824001312,0.5534917947214415
113590059.png,0.4488782584667206,0.537753882154619
113590018.png,0.459236204624176,0.4860426344367188
113590056.png,0.46406877040863037,0.5523285541443841
113590031.png,0.46682077646255493,0.5444798885451617
112590454.png,0.4696709215641022,0.5192887158026641
113590028.png,0.4696958065032959,0.5260663483841179
113590023.png,0.4752624034881592,0.4325514092504049
113AC1012.png,0.4773074686527252,0.5141323716357425
113590051.png,0.48277202248573303,0.5490678008215584
112590452.png,0.4850330948829651,0.5208857049064893
113590006.png,0.4853796362876892,0.45815527638157805
111590047.png,0.48606714606285095,0.5774238338260894
113590052.png,0.48739713430404663,0.4995648002928157
113590001.png,0.4891103506088257,0.5161313981366543
113590045.png,0.48995471000671387,0.47093271870565745
113590039.png,0.49678972363471985,0.5296774130061688
113590044.png,0.4969213008880615,0.5147179547163353
113590057.png,0.49745166301727295,0.49753896299675765
113370239.png,0.4977560341358185,0.5410406144859514
114054809.png,0.49844133853912354,0.5186288920347861
110590455.png,0.4989878535270691,0.5175700468977666
113590026.png,0.49996039271354675,0.5524181661373303
113590032.png,0.5014580488204956,0.5656556528812783
111590028.png,0.5023391842842102,0.5404137666971727
113590062.png,0.5028319358825684,0.48762953152931143
113590061.png,0.507381021976471,0.5184132290613013
113590015.png,0.5093645453453064,0.5064302213597108
113590050.png,0.5097946524620056,0.4453637468520385
112590455.png,0.5101218819618225,0.5270150290945069
113590005.png,0.5135047435760498,0.5841840167391977
113590049.png,0.5155029892921448,0.42959506534580044
113590033.png,0.5175795555114746,0.5131718735500785
113590003.png,0.5181691646575928,0.5435894149945372
111590062.png,0.5206089019775391,0.5113909228958573
112590058.jpg,0.5210949182510376,0.3739392273323677
113AB0018.png,0.5218735337257385,0.468528658374212
113590047.png,0.5240162014961243,0.5834990801989799
113590022.png,0.5265434980392456,0.4888880314043126
113590060.png,0.5323034524917603,0.5235210043929651
113590036.png,0.5331409573554993,0.4533408082919186
113590043.png,0.5339455008506775,0.6151622362032965
113590004.png,0.5346289277076721,0.5884588704930126
113590008.png,0.5351089835166931,0.3903761433123987
113590025.png,0.5380910634994507,0.6174759174576883
113590042.png,0.5405072569847107,0.4614348822985931
113590021.png,0.5407757759094238,0.4746721605074783
112590040.png,0.5411199331283569,0.45049971826482493
113590010.png,0.5485963225364685,0.4690247773311233
113590013.png,0.5500189661979675,0.42158535427231186
111590042.png,0.550986111164093,0.6398183918116433
113590002.png,0.5521018505096436,0.47856168348688694
113590040.png,0.5548091530799866,0.5061259512279032
